country_zh,country_en,continent
巴西,Brazil,Americas
加拿大,Canada,Americas
智利,Chile,Americas
哥倫比亞,Colombia,Americas
墨西哥,Mexico,Americas
美國,United States,Americas
奧地利,Austria,Europe
比利時,Belgium,Europe
捷克,Czech Republic,Europe
丹麥,Denmark,Europe
芬蘭,Finland,Europe
法國,France,Europe
德國,Germany,Europe
希臘,Greece,Europe
匈牙利,Hungary,Europe
冰島,Iceland,Europe
義大利,Italy,Europe
科索沃,Kosovo,Europe
拉脫維亞,Latvia,Europe
立陶宛,Lithuania,Europe
盧森堡,Luxembourg,Europe
荷蘭,Netherlands,Europe
挪威,Norway,Europe
波蘭,Poland,Europe
葡萄牙,Portugal,Europe
斯洛維尼亞,Slovenia,Europe
西班牙,Spain,Europe
瑞典,Sweden,Europe
瑞士,Switzerland,Europe
英國,United Kingdom,Europe
中國,China,Asia
香港,Hong Kong,Asia
印度,India,Asia
日本,Japan,Asia
澳門,Macau,Asia
馬來西亞,Malaysia,Asia
蒙古,Mongolia,Asia
新加坡,Singapore,Asia
南韓,South Korea,Asia
泰國,Thailand,Asia
土耳其,Turkey,Asia
澳大利亞,Australia,Oceania
紐西蘭,New Zealand,Oceania
南非,South Africa,Africa
