id,name_zh,name_en,country,country_en,url,開放第二次出國交換之同學選填,申請組別,GPA要求,年級限制,語言要求,不接受申請之學院,名額,學校年曆,註冊繳費,住宿資訊,注意事項,latitude,longitude
1115,聖保羅大學,Universidade de São Paulo (USP),巴西,Brazil,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1115,是,一般組,,大二以上/碩一以上/博一以上學生,本校大二以上/碩一以上/博一以上學生，以報名交換學生甄選時，本校教務處學籍系統上之年級為準。研究生申請資訊請另詳見注意事項。 2.	具葡萄牙語能力證明 ，須具葡語B1檢定證書,,全學年2名。,First Semester: February - June；Second Semester: August - December,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,-22.3347205
974,里約熱內盧天主教大學,Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),巴西,Brazil,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/974,否,一般組,GPA 達3.00分以上,大二以上(僅限大學部)學生,本校大二以上(僅限大學部)學生，以報名交換學生甄選時，本校教務處學籍系統上之年級為準。 2.	GPA 達3.00分以上。 3.	TOEFL iBT 79 (不接受 Home Edition) 或 IELTS 6.0。  或 4.	具葡萄牙語能力證明 ，B1以上檢定證書或本校修讀葡萄牙語4個學期以上成績及格證明,,全學年1名。,First Semester: February - July；Second Semester: August - December,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔。,可申請校外住宿（Home-stay Program），住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,-22.9796815
931,坎皮納斯州立大學,Universidade Estadual de Campinas (UNICAMP),巴西,Brazil,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/931,是,一般組,,大二以上/碩一以上/博一以上學生,本校大二以上/碩一以上/博一以上學生，以報名交換學生甄選時，本校教務處學籍系統上之年級為準。 2.	具葡萄牙語能力證明 ，B1以上檢定證書或本校修讀葡萄牙語4個學期以上成績及格證明,,全學年1名。,First semester: February - July；Second semester: August - December,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考下方說明：,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,-22.822656
1061,魁北克大學蒙特婁分校,Université du Québec à Montréal (UQAM),加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1061,是,法語組,GPA 達3.20分以上,,本校大二以上/碩一以上(不含博士生)學生，以報名交換學生甄選時，本校教務處學籍系統上之年級為準。 2.	GPA 達3.20分以上，部分院系有更高 GPA 要求，選填志願前請詳見注意事項，以免遭到拒收。 3.	具法語檢定成績 B2(中高級) 級以上,管理學院,一學期2名。,Fall semester: September - December；Winter semester: January - April/May,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,45.5132253
1075,愛德華王子島大學,University of Prince Edward Island (UPEI),加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1075,是,一般組,GPA 達2.70分以上,大二以上(僅限大學部)學生,,,全學年0名。因交換學生往來不平衡，該校2025/2026年度不開放申請。  ⚠️重要公告 根據加拿大政府公告，自2024/2025年度起將限縮學生簽證（Study Permit）數，將影響期長為一學年之交換學生計畫，交換期長為一學期者因無需辦理學生簽證，暫不受到影響，敬請留意,Semester 1: September - December；Semester 2: January - March/April,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考：,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,46.2594778
115,蒙特婁大學,Université de Montréal (UdeM),加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/115,是,法語組,GPA 達3.00分以上,,本校大二以上/碩一以上(不含博士生)學生，以報名交換學生甄選時，本校教務處學籍系統上之年級為準。 2.	GPA 達3.00分以上。 3.	具法語檢定成績 B2(中高級) 級以上,管理學院、工學院,一學期2名。,Fall Semester: September - December；Winter Semester: January - April,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,45.5047577
599,女王大學,Queen's University,加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/599,否,一般組,GPA 達3.00分以上,,,法律學院,一學期1名。,Fall Term: September - December；Winter Term: January - April,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，詳情請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,44.2279934
6,滑鐵盧大學,University of Waterloo,加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/6,是,一般組,GPA 達2.70分以上,,,,一學期4名。,Fall Term: September - December；Winter Term: January - April,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,43.4701994
5,西門菲沙大學,Simon Fraser University (SFU),加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/5,是,一般組,,,,,一學期1名。,Fall Term: September - December；Spring Term: January - April,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,不保證住宿，住宿資訊請參考此連結,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,49.2767096
3,渥太華大學,University of Ottawa,加拿大,Canada,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/3,否,一般組,GPA 達3.00分以上,,,醫學院、管理學院,全學年0名。因交換學生往來不平衡，該校2025/2026年度不開放申請。  ⚠️重要公告 根據加拿大政府公告，自2024/2025年度起將限縮學生簽證（Study Permit）數，將影響期長為一學年之交換學生計畫，交換期長為一學期者因無需辦理學生簽證，暫不受到影響，敬請留意,Fall Semester: September - December；Spring Semester: January - April*,須在本校註冊並繳交全額學雜費，免繳該校學費，但住宿費、生活費、保險費、往返機票費等均須自行負擔,,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收,,45.4225271
